제목,부제목,훈련과정ID,훈련과정순차,훈련기관ID,훈련기관코드,지역코드,훈련시작일자,훈련종료일자,훈련시작_월,훈련종료_월,훈련기간_일,훈련기간_주,훈련기간_월,정원,수강신청인원,수강비,실제훈련비,만족도점수,NCS_코드,훈련대상,훈련구분,주소,전화번호,정원_대비_신청률,1차분류,2차분류,3차분류
그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,(주)솔데스크,AIG20220000366787,9,500020026366,200902929,11110,2024-01-23,2024-07-18,1,7,177,25.3,5.9,30,17,9097920,9097920,89.8,20010202,K-디지털 트레이닝,C0104, 종로구,02-6901-7038,56.7,정보통신,정보기술,정보기술개발
포토샵&일러스트레이터 기초 다지기,그린컴퓨터아카데미 신촌,AIG20210000320566,36,500020016713,200802672,11440,2024-01-23,2024-02-01,1,2,9,1.3,0.3,20,11,112400,112400,88.9,8020101,국민내일배움카드(일반),C0061, 마포구,02-715-2111,55.0,,,
전기기능장 실기 취득[작업형],(주)대한전기학원,AIG20230000446940,1,500020056275,200000165,11710,2024-01-23,2024-03-21,1,3,58,8.3,1.9,13,1,623350,900000,0.0,19010701,국민내일배움카드(일반),C0061, 송파구,02-415-2211,7.7,,,
"■(60시간완성)(시각디자인-GTQ포토샵1급,일러스트1급취득)그래픽디자인",신영진컴퓨터학원,AIG20230000447780,2,500020043869,200900800,11530,2024-01-23,2024-02-14,1,2,22,3.1,0.7,10,8,337200,337200,80.1,8020101,국민내일배움카드(일반),C0061, 구로구,02-2631-3139,80.0,,,
"웹툰 스토리 제작 (시나리오, 콘티, 화면연출, 클립스튜디오) ",에이치아카데미 D&D교육센터,AIG20210000342503,11,500020010894,200900755,11410,2024-01-23,2024-02-23,1,2,31,4.4,1.0,20,10,224640,224640,77.8,8030207,국민내일배움카드(일반),C0061, 서대문구,02-364-0008,50.0,,,
컴퓨터활용능력 1급 자격증(실기) 취득과정 -엑셀+엑세스,노원그린컴퓨터아카데미,AIG20220000383727,7,500020044993,201000733,11350,2024-01-23,2024-02-22,1,2,30,4.3,1.0,20,11,306000,306000,95.8,2020302,국민내일배움카드(일반),C0061, 노원구,02-6953-2002,55.0,정보통신,,
오토캐드(AutoCAD) 도면설계,(주)KD아카데미,AIG20210000353308,3,500020062489,200701532,11350,2024-01-23,2024-03-19,1,3,56,8.0,1.9,20,7,409200,409200,93.4,14030104,국민내일배움카드(일반),C0061, 노원구,02-951-0008,35.0,,,
"컴퓨터활용능력 2급 (필기,실기) ",엠비씨(MBC)아카데미 컴퓨터교육센터 화곡점,AIG20220000378343,11,500020044103,200701729,11500,2024-01-23,2024-02-28,1,2,36,5.1,1.2,20,14,600000,600000,85.1,2020302,국민내일배움카드(일반),C0061, 강서구,02-2675-1750,70.0,정보통신,,
방수기능사 자격증 취득과정,대우건축토목학원,AIG20230000448626,1,500020029600,200100119,11230,2024-01-23,2024-01-25,1,1,2,0.3,0.1,12,0,109120,350000,92.4,14030203,국민내일배움카드(일반),C0061, 동대문구,02-964-0368,0.0,,,
정리수납 컨설턴트,구로여성인력개발센터,AIG20230000419493,2,500020039488,200200805,11530,2024-01-23,2024-02-27,1,2,35,5.0,1.2,20,13,112540,112540,92.2,11020102,국민내일배움카드(일반),C0061, 구로구,02-867-4456,65.0,,,
"[핵심쏙쏙] 일러스트(GTQ자격증 1급,2급)",엠비씨(MBC)아카데미 컴퓨터교육센터,AIG20220000374065,7,500020031223,201201399,11620,2024-01-23,2024-02-29,1,2,37,5.3,1.2,30,12,202320,202320,76.2,8020101,국민내일배움카드(일반),C0061, 구로구,02-6956-2408,40.0,,,
케이크실무과정(케익+케익데코2급취득과정),한솔요리커피제과제빵아카데미,AIG20230000418095,1,500020018918,201501180,11500,2024-01-23,2024-03-14,1,3,51,7.3,1.7,15,12,299200,430000,82.9,21020101,국민내일배움카드(일반),C0061, 강서구,02-6738-4200,80.0,,,
빅데이터 분석을 위한 파이썬(python) 프로그래밍(빅데이터 시각화 입문),엠비씨(MBC)아카데미 컴퓨터국비지원교육센터,AIG20220000399897,2,500034282945,201801390,11620,2024-01-23,2024-02-27,1,2,35,5.0,1.2,25,6,258180,258180,89.3,20010202,국민내일배움카드(일반),C0061, 관악구,02-2636-7776,24.0,정보통신,정보기술,정보기술개발
"이태리카페브런치(파스타, 샐러드, 샌드위치)",주식회사서울요리학원,AIG20230000452755,1,500020013231,200902104,11110,2024-01-23,2024-02-23,1,2,31,4.4,1.0,16,9,562400,562400,95.2,13010102,국민내일배움카드(일반),C0061, 종로구,02-766-1044,56.2,,,
포토샵과 망고보드를 활용한 SNS 콘텐츠 제작,영등포여성인력개발센터,AIG20220000388430,5,500020038144,200803064,11560,2024-01-23,2024-03-07,1,3,44,6.3,1.5,16,8,219180,219180,85.7,8020101,국민내일배움카드(일반),C0061, 영등포구,02-858-4514,50.0,,,
"쇼핑몰제작및활용(스마트스토어,쿠팡,상세페이지제작)",숭실창의인재개발원,AIG20220000390817,5,500034236473,201800912,11710,2024-01-23,2024-03-21,1,3,58,8.3,1.9,10,10,345500,345500,92.6,10030102,국민내일배움카드(일반),C0061, 동작구,02-822-2260,100.0,,,
WebGL(3D API)을 활용한 Motion UI 프론트엔드 웹앱개발자 양성과정,노원그린컴퓨터아카데미,AIG20230000412587,2,500020044993,201000733,11350,2024-01-23,2024-08-09,1,8,199,28.4,6.6,20,9,10310970,10310970,92.4,20010202,K-디지털 트레이닝,C0104, 노원구,02-6953-2002,45.0,정보통신,정보기술,정보기술개발
Cisco VirtuNet Cloud 통합 구현,한국표준협회,AIG20230000455741,3,500020055650,200602001,11110,2024-01-23,2024-07-19,1,7,178,25.4,5.9,30,30,17424000,17424000,90.6,20010301,K-디지털 트레이닝,C0104, 강남구,02-6240-4884,100.0,정보통신,정보기술,정보기술운영
온라인 쇼핑몰(스마트스토어&오픈마켓)운영 및 SNS홍보 실무,한일컴퓨터학원,AIG20230000452294,1,500020026931,201001726,11215,2024-01-23,2024-03-21,1,3,58,8.3,1.9,10,6,345500,345500,89.8,10030102,국민내일배움카드(일반),C0061, 광진구,02-457-8857,60.0,,,
자바 & 파이썬 활용 통계 기반 빅데이터 개발자 과정,(주)솔데스크,AIG20210000328686,8,500020026366,200902929,11110,2024-01-23,2024-07-19,1,7,178,25.4,5.9,30,25,9147840,9147840,82.6,20010105,K-디지털 트레이닝,C0104, 종로구,02-6901-7038,83.3,정보통신,정보기술,정보기술전략·계획
"플로리스트기초 상품제작 양성과정A(꽃다발,꽃바구니,꽃꽂이상품,센터피스)",혜인즈블라썸플로리스트화훼학원,AIG20230000453285,1,500020056776,201700420,11680,2024-01-23,2024-03-06,1,3,43,6.1,1.4,12,8,670320,770320,94.6,24010401,국민내일배움카드(일반),C0061, 강남구,02-540-5436,66.7,,,
사무직 필수 엑셀 입문(실무엑셀)A,더조은컴퓨터아카데미,AIG20220000387752,2,500020028586,200902169,11680,2024-01-23,2024-02-14,1,2,22,3.1,0.7,20,13,216000,216000,87.1,2020302,국민내일배움카드(일반),C0061, 강남구,02-594-5613,65.0,정보통신,,
도배시공 입문 및 자격증취득(실기),강서도배학원,AIG20230000414393,1,500033307458,201703391,11500,2024-01-23,2024-02-21,1,2,29,4.1,1.0,16,12,1091200,1147300,93.9,14030209,국민내일배움카드(일반),C0061, 강서구,02-2666-9964,75.0,,,
미싱활용 및 소품의류 제작 기초반,평생문화센터강동평생교육원,AIG20230000445464,1,500020041992,200902429,11740,2024-01-23,2024-02-08,1,2,16,2.3,0.5,11,6,311220,349220,89.0,22020107,국민내일배움카드(일반),C0061, 강동구,02-483-9377,54.5,,,
양식조리기능사 실기취득반,한솔요리아카데미 강동,AIG20220000385701,6,500020030731,200601534,11740,2024-01-23,2024-03-18,1,3,55,7.9,1.8,20,7,334400,384400,91.7,13010102,국민내일배움카드(일반),C0061, 강동구,02-472-8400,35.0,,,
전산세무1급(법인세) 자격증 취득,이젠아카데미 DX교육센터,AIG20230000440778,1,500020050800,200600964,11110,2024-01-23,2024-03-28,1,3,65,9.3,2.2,20,9,393600,393600,90.5,2030202,국민내일배움카드(일반),C0061, 종로구,02-733-8781,45.0,정보통신,,
출판 마케팅 입문,한겨레교육문화센터,AIG20230000442373,1,500020044080,199900440,11440,2024-01-23,2024-02-27,1,2,35,5.0,1.2,15,3,124560,355760,85.7,22010101,국민내일배움카드(일반),C0061, 마포구,02-3279-0903,20.0,,,
바리스타1급 자격증 및 라떼아트,신혜경커피아카데미학원,AIG20230000438248,1,500041569820,202201363,11710,2024-01-23,2024-02-22,1,2,30,4.3,1.0,12,1,400400,426400,98.2,13010203,국민내일배움카드(일반),C0061, 송파구,070-7727-7774,8.3,,,
바리스타 국제 자격증 과정(SCA Foundation+Intermediate),플랜비식음료학원,AIG20230000434733,1,500038798226,202004466,11710,2024-01-23,2024-02-14,1,2,22,3.1,0.7,10,8,462000,462000,94.4,13010203,국민내일배움카드(일반),C0061, 송파구,02-417-9721,80.0,,,
바리스타2급자격증(이론+실기),한솔요리커피제과제빵아카데미,AIG20230000430480,1,500020032977,200601481,11350,2024-01-23,2024-02-14,1,2,22,3.1,0.7,20,18,462000,462000,100.0,13010203,국민내일배움카드(일반),C0061, 노원구,02-3391-5252,90.0,,,
라떼아트과정,플랜비식음료학원,AIG20230000431771,1,500038798226,202004466,11710,2024-01-23,2024-02-05,1,2,13,1.9,0.4,10,8,308000,308000,96.6,13010203,국민내일배움카드(일반),C0061, 송파구,02-417-9721,80.0,,,
기초부터 실무활용 ITQ(한글+엑셀),하이미디어컴퓨터학원,AIG20220000379135,3,500020012631,200601553,11350,2024-01-23,2024-02-23,1,2,31,4.4,1.0,20,12,180000,180000,73.2,2020302,국민내일배움카드(일반),C0061, 노원구,02-6337-0008,60.0,정보통신,,
컴퓨터활용능력1급자격증실기,하이미디어아이티컴퓨터학원,AIG20230000424252,1,500034251821,201801100,11560,2024-01-23,2024-02-02,1,2,10,1.4,0.3,16,5,234000,234000,66.7,2020302,국민내일배움카드(일반),C0061, 영등포구,02-2677-2688,31.2,정보통신,,
웨딩부케&공간파티장식 집중반,블루밍해플라워디자인학원,AIG20230000447307,1,500040658094,202104148,11230,2024-01-24,2024-02-29,1,2,36,5.1,1.2,11,5,670320,870320,94.3,24010401,국민내일배움카드(일반),C0061, 동대문구,070-4107-3403,45.5,,,
"『영상편집디자인』트렌드한 프리미어,에펙실무 기초활용",그린컴퓨터아트학원,AIG20230000432564,1,500020062235,200300611,11110,2024-01-24,2024-03-13,1,3,49,7.0,1.6,20,12,258180,258180,62.9,20020318,국민내일배움카드(일반),C0061, 종로구,02-722-2111,60.0,정보통신,통신기술,
ITQ자격취득반(한글/엑셀/파워포인트),대성회계실무학원주식회사,AIG20230000423866,1,500020038398,200401290,11230,2024-01-24,2024-02-08,1,2,15,2.1,0.5,13,7,360000,360000,94.8,2020302,국민내일배움카드(일반),C0061, 동대문구,02-966-8400,53.8,정보통신,,
『스케치업』3D 실내인테리어/실내건축설계를 위한 스케치업,그린컴퓨터아트학원,AIG20230000425454,1,500020062235,200300611,11110,2024-01-24,2024-03-11,1,3,47,6.7,1.6,20,9,265980,265980,100.0,14030104,국민내일배움카드(일반),C0061, 종로구,02-722-2111,45.0,,,
정리수납전문가1급 (이론대비),강동여성인력개발센터,AIG20230000425554,2,500020059230,201000981,11740,2024-01-24,2024-02-20,1,2,27,3.9,0.9,17,9,258180,258180,100.0,11020102,국민내일배움카드(일반),C0061, 강동구,02-475-0110,52.9,,,
사회복지실무(사회복지시설정보시스템 활용),은평여성인력개발센터,AIG20230000433670,1,500020062113,199900385,11380,2024-01-24,2024-02-08,1,2,15,2.1,0.5,20,20,258180,258180,89.6,7010201,국민내일배움카드(일반),C0061, 은평구,02-389-1976,100.0,,,
미용사(피부) 자격증 취득과정,크리스챤쇼보미용학원,AIG20230000435016,1,500020060510,201300898,11350,2024-01-24,2024-05-03,1,5,100,14.3,3.3,15,10,1617500,1617500,84.3,12010102,국민내일배움카드(일반),C0061, 노원구,02-931-2081,66.7,,,
진짜 쉽게 가르쳐줄게 피그마 과정_36H,역삼 그린컴퓨터아카데미,AIG20230000418575,1,500020046288,201200854,11680,2024-01-24,2024-02-28,1,2,35,5.0,1.2,20,12,224640,224640,96.4,8030209,국민내일배움카드(일반),C0061, 강남구,02-3481-1006,60.0,,,
[컴활2급] 컴퓨터활용능력2급실기(엑셀활용),하이미디어아카데미,AIG20220000390316,5,500020021310,201000349,11410,2024-01-24,2024-02-23,1,2,30,4.3,1.0,22,8,180000,180000,84.5,2020302,국민내일배움카드(일반),C0061, 서대문구,02-714-0008,36.4,정보통신,,
"그래픽디자인 기초와 실무(포토샵, 일러스트, 인디자인 활용)",서초여성인력개발센터,AIG20220000403513,3,500020032056,200803067,11650,2024-01-24,2024-02-28,1,2,35,5.0,1.2,24,12,449600,449600,91.8,8020101,국민내일배움카드(일반),C0061, 서초구,02-6929-0011,50.0,,,
전산회계1급 + 전산세무2급 이렇게 쉬웠어? (핵심요약+실무자격증대비),강남 그린컴퓨터아카데미,AIG20230000421315,1,500020046871,201100784,11680,2024-01-24,2024-03-06,1,3,42,6.0,1.4,20,13,918400,918400,83.1,2030202,국민내일배움카드(일반),C0061, 강남구,02-3481-1005,65.0,정보통신,,
간호조무사자격증취득과정,약수메트로간호학원,AIG20230000414882,1,500042849825,202300947,11140,2024-01-24,2024-09-06,1,9,226,32.3,7.5,31,21,3188960,3188960,94.0,6020403,국민내일배움카드(일반),C0061, 중구,02-2256-3200,67.7,,,
플로리스트 취업 창업실무반,문릿꽃꽂이학원,AIG20230000442193,1,500020011725,201501115,11680,2024-01-24,2024-05-01,1,5,98,14.0,3.3,10,5,957600,1107600,71.4,24010401,국민내일배움카드(일반),C0061, 강남구,02-3474-1028,50.0,,,
(저녁)[컴활1급]컴퓨터활용능력1급취득(엑셀실기),하이미디어아카데미인재개발원,AIG20220000389044,2,500020037340,201101542,11110,2024-01-24,2024-03-06,1,3,42,6.0,1.4,22,5,288000,288000,94.9,2020302,국민내일배움카드(일반),C0061, 종로구,02-723-0008,22.7,정보통신,,
색채드로잉(오일파스텔화),영등포여성인력개발센터,AIG20220000389611,4,500020038144,200803064,11560,2024-01-24,2024-02-21,1,2,28,4.0,0.9,16,9,89920,129920,74.3,8020108,국민내일배움카드(일반),C0061, 영등포구,02-858-4514,56.2,,,
커피 브루잉과정(핸드드립),블랙탑바리스타학원,AIG20220000386286,5,500039017900,202100708,11440,2024-01-24,2024-03-20,1,3,56,8.0,1.9,18,6,369600,369600,98.6,13010203,국민내일배움카드(일반),C0061, 마포구,02-702-3233,33.3,,,
제과기능사실기취득반,한솔요리아카데미 강동,AIG20220000379289,8,500020030731,200601534,11740,2024-01-24,2024-02-21,1,2,28,4.0,0.9,14,9,353600,403600,98.0,21020101,국민내일배움카드(일반),C0061, 강동구,02-472-8400,64.3,,,
"[핵심쏙쏙] 포토샵(GTQ자격증 1급,2급)",엠비씨(MBC)아카데미 컴퓨터교육센터,AIG20220000373769,12,500020031223,201201399,11620,2024-01-24,2024-02-28,1,2,35,5.0,1.2,30,29,202320,202320,86.9,8020101,국민내일배움카드(일반),C0061, 구로구,02-6956-2408,96.7,,,
"(국가자격)전기기능사(필기,실기)",에듀윌 국비교육원 구로센터,AIG20220000403879,9,500020055943,201403044,11530,2024-01-24,2024-04-08,1,4,75,10.7,2.5,20,19,1370000,1370000,93.5,19010701,국민내일배움카드(일반),C0061, 구로구,02-6482-0600,95.0,,,
"자동차랩핑, PPF시공 기술양성과정",팩트디자인자동차아카데미학원,AIG20230000435727,1,500035587617,201900923,11680,2024-01-24,2024-02-28,1,2,35,5.0,1.2,15,15,1175400,1525400,97.6,15060305,국민내일배움카드(일반),C0061, 강남구,02-555-6482,100.0,,,
가드닝 & 식물 플랜테리어,피오르플라워디자인학원,AIG20230000420142,1,500041221460,202200176,11380,2024-01-24,2024-03-13,1,3,49,7.0,1.6,10,4,255360,325360,100.0,24010401,국민내일배움카드(일반),C0061, 은평구,02-2039-9949,40.0,,,
요양보호사 자격증양성,중랑여성인력개발센터 요양보호사교육원,AIG20230000422306,1,500035471136,201900112,11260,2024-01-24,2024-03-25,1,3,61,8.7,2.0,30,15,800000,800000,90.0,6010108,국민내일배움카드(일반),C0061, 중랑구,02-3409-1947,50.0,,,
『나도할수있다』영상(유튜브)편집 쉽게 배우기,강남 그린컴퓨터아카데미,AIG20220000370990,2,500020046871,201100784,11680,2024-01-24,2024-02-28,1,2,35,5.0,1.2,30,27,202320,202320,84.0,8020104,국민내일배움카드(일반),C0061, 강남구,02-3481-1005,90.0,,,
"웹툰 배경 제작 (원근법, 투상법, 클립스튜디오) ",에이치아카데미 D&D교육센터,AIG20210000342380,10,500020010894,200900755,11410,2024-01-24,2024-03-04,1,3,40,5.7,1.3,20,9,224640,224640,80.7,8030207,국민내일배움카드(일반),C0061, 서대문구,02-364-0008,45.0,,,
해외구매대행 글로벌셀러,서대문여성인력개발센터,AIG20220000388514,6,500020060396,199800138,11410,2024-01-24,2024-02-05,1,2,12,1.7,0.4,15,11,165840,165840,89.1,10030102,국민내일배움카드(일반),C0061, 서대문구,02-332-8661,73.3,,,
자바(JAVA)활용 데이터 수집 및 분석을 위한 웹 시스템 구축 과정,구트아카데미학원,AIG20220000409222,7,500020023588,201700264,11530,2024-01-24,2024-07-31,1,7,189,27.0,6.3,25,18,9477000,9477000,85.0,20010202,K-디지털 트레이닝,C0104, 구로구,02-837-9922,72.0,정보통신,정보기술,정보기술개발
금융 AI 빅데이터 분석 풀스텍 개발자 과정,한국직업전문학교 1캠퍼스,AIG20230000455557,1,500034122761,201800178,11530,2024-01-24,2024-07-16,1,7,174,24.9,5.8,25,11,9205010,9205010,73.5,20010105,K-디지털 트레이닝,C0104, 구로구,02-6959-3647,44.0,정보통신,정보기술,정보기술전략·계획
건축도장기능사 자격증 취득과정,대우건축토목학원,AIG20230000448650,1,500020029600,200100119,11230,2024-01-24,2024-01-26,1,1,2,0.3,0.1,12,0,109120,350000,85.7,14030205,국민내일배움카드(일반),C0061, 동대문구,02-964-0368,0.0,,,
커피바리스타 SCA Foundation + Intermediate (초급+중급) 국제 자격증 과정,커피인바리스타학원,AIG20230000448979,2,500020057949,201602696,11500,2024-01-24,2024-03-27,1,3,63,9.0,2.1,12,6,770000,770000,97.6,13010203,국민내일배움카드(일반),C0061, 강서구,02-2065-1020,50.0,,,
미용사(피부)자격증,GMB직업전문학교,AIG20230000431694,1,500020055869,200500916,11620,2024-01-24,2024-04-22,1,4,89,12.7,3.0,20,9,1630320,1630320,99.6,12010102,국민내일배움카드(일반),C0061, 관악구,02-885-2598,45.0,,,
건강보험청구심사통합과정,메디아이잠실보험학원,AIG20230000436520,1,500020019338,200701562,11710,2024-01-24,2024-02-28,1,2,35,5.0,1.2,19,16,555000,750000,87.5,6010201,국민내일배움카드(일반),C0061, 송파구,02-414-0006,84.2,,,
시각(편집)디자인 이렇게 쉬웠어? (포토샵+일러스트+GTQ자격),강남 그린컴퓨터아카데미,AIG20230000423883,1,500020046871,201100784,11680,2024-01-24,2024-02-29,1,2,36,5.1,1.2,20,19,692000,692000,89.0,22010102,국민내일배움카드(일반),C0061, 강남구,02-3481-1005,95.0,,,
2D그래픽디자인 실무(포토샵&일러스트),강북여성인력개발센터,AIG20230000437843,1,500020029602,199900140,11305,2024-01-24,2024-04-03,1,4,70,10.0,2.3,15,7,337200,337200,100.0,8020101,국민내일배움카드(일반),C0061, 강북구,02-980-2377,46.7,,,
ITQ자격증 취득(한글+엑셀),대신IT평생교육원,AIG20230000430234,1,500020055168,200902433,11740,2024-01-24,2024-02-19,1,2,26,3.7,0.9,20,8,234000,234000,60.7,2020302,국민내일배움카드(일반),C0061, 강동구,02-475-5551,40.0,정보통신,,
"쿠키,마카롱,타르트 제과실무",한솔요리커피제과제빵아카데미,AIG20230000418944,1,500020018918,201501180,11500,2024-01-24,2024-02-28,1,2,35,5.0,1.2,15,4,244800,340000,92.9,21020101,국민내일배움카드(일반),C0061, 강서구,02-6738-4200,26.7,,,
한식조리기능사(필기+실기)자격증취득과정,한솔요리커피제과제빵아카데미,AIG20230000419006,1,500020018918,201501180,11500,2024-01-24,2024-03-15,1,3,51,7.3,1.7,17,12,608000,697000,91.4,13010101,국민내일배움카드(일반),C0061, 강서구,02-6738-4200,70.6,,,
중식조리기능사 자격증(실기),노원여성인력개발센터,AIG20230000420489,1,500020036948,200602061,11350,2024-01-24,2024-02-28,1,2,35,5.0,1.2,12,9,296400,346400,100.0,13010103,국민내일배움카드(일반),C0061, 노원구,02-951-0187,75.0,,,
[컴활2급]컴퓨터활용능력2급 OA엑셀+자격증 취득과정[저녁반],강남 그린컴퓨터아카데미,AIG20220000367592,3,500020046871,201100784,11680,2024-01-24,2024-02-28,1,2,35,5.0,1.2,20,14,216000,216000,90.5,2020302,국민내일배움카드(일반),C0061, 강남구,02-3481-1005,70.0,정보통신,,
화훼장식기능사 대비반(실기),블루밍해플라워디자인학원,AIG20230000415938,1,500040658094,202104148,11230,2024-01-24,2024-03-14,1,3,50,7.1,1.7,11,2,893760,993760,88.6,24010401,국민내일배움카드(일반),C0061, 동대문구,070-4107-3403,18.2,,,
"(게임콘텐츠제작) 게임콘텐츠 제작자 양성과정(2D, 포토샵, 3DMAX)",(주)누리마루학원,AIG20230000435696,1,500020035867,201100740,11650,2024-01-24,2024-09-23,1,9,243,34.7,8.1,27,27,5023200,5023200,96.8,8030205,국가기간전략산업직종,C0054, 서초구,02-584-0806,100.0,,,
"풀스택 프레임워크(자바,스프링)기반 데이터 융합SW개발자 과정",글로벌아이티(IT)인재개발학원,AIG20230000412866,5,500020055899,200600295,11620,2024-01-25,2024-07-22,1,7,179,25.6,6.0,23,12,9097920,9097920,91.0,20010202,K-디지털 트레이닝,C0104, 관악구,02-6020-0055,52.2,정보통신,정보기술,정보기술개발
바리스타 1급 자격 취득과정 [속성반] ,블랙탑바리스타학원,AIG20230000447139,1,500039017900,202100708,11440,2024-01-25,2024-03-12,1,3,47,6.7,1.6,18,6,300300,330300,90.1,13010203,국민내일배움카드(일반),C0061, 마포구,02-702-3233,33.3,,,
미용사(일반)헤어 자격증 취득과정,크리스챤쇼보미용학원,AIG20230000434398,2,500020060510,201300898,11350,2024-01-25,2024-05-14,1,5,110,15.7,3.7,20,13,1876300,1876300,83.5,12010101,국민내일배움카드(일반),C0061, 노원구,02-931-2081,65.0,,,
애견의류 및 소품제작(초급),자리잡자직업전문학교,AIG20230000434763,2,500020019322,200200663,11170,2024-01-25,2024-03-19,1,3,54,7.7,1.8,20,6,317760,357760,71.4,18020201,국민내일배움카드(일반),C0061, 용산구,02-792-8001,30.0,,,
GCS 국제자격증 취득 로스팅 레벨1+센서리 레벨1(기초반),뉴욕바리스타베버리지학원,AIG20230000435363,1,500040951361,202104725,11560,2024-01-25,2024-02-13,1,2,19,2.7,0.6,18,7,300300,300300,98.1,13010203,국민내일배움카드(일반),C0061, 영등포구,02-2068-7330,38.9,,,
디저트 메뉴 실습,노원여성인력개발센터,AIG20230000427826,1,500020036948,200602061,11350,2024-01-25,2024-02-29,1,2,35,5.0,1.2,12,8,228000,278000,91.4,13010102,국민내일배움카드(일반),C0061, 노원구,02-951-0187,66.7,,,
일식조리기능사 자격취득과정(실기),일식조리기술학원,AIG20230000422578,1,500020041749,200901396,11140,2024-01-25,2024-02-16,1,2,22,3.1,0.7,12,3,456000,456000,91.0,13010104,국민내일배움카드(일반),C0061, 중구,02-2296-3005,25.0,,,
꽃바구니 집중과정 (플라워 바스켓 디자인),안단테꽃예술홍대학원,AIG20230000424370,3,500038911595,202100146,11440,2024-01-25,2024-03-14,1,3,49,7.0,1.6,17,6,383040,523040,94.6,24010401,국민내일배움카드(일반),C0061, 마포구,02-323-8552,35.3,,,
[사회복지사 자격증 소지자반] 요양보호사양성과정,노원중계요양보호사교육원,AIG20230000434430,1,500041201201,202200120,11350,2024-01-25,2024-02-17,1,2,23,3.3,0.8,40,9,189850,250000,92.9,6010108,국민내일배움카드(일반),C0061, 노원구,02-6959-0610,22.5,,,
미용사(네일) 자격증 취득과정,크리스챤쇼보미용학원,AIG20230000435220,1,500020060510,201300898,11350,2024-01-25,2024-04-30,1,4,96,13.7,3.2,15,7,1682200,1682200,81.0,12010104,국민내일배움카드(일반),C0061, 노원구,02-931-2081,46.7,,,
"플라워 초급(꽃바구니, 꽃꽂이, 꽃다발)",용산여성인력개발센터,AIG20230000435571,1,500020011052,200900283,11170,2024-01-25,2024-02-22,1,2,28,4.0,0.9,16,6,191520,261520,91.8,24010401,국민내일배움카드(일반),C0061, 용산구,02-714-9762,37.5,,,
카페메뉴(음료),뉴브레인직업전문학교,AIG20230000428167,1,500020022315,201001114,11530,2024-01-25,2024-02-07,1,2,13,1.9,0.4,10,5,231000,231000,95.9,13010203,국민내일배움카드(일반),C0061, 양천구,02-2687-1253,50.0,,,
플로리스트 중급과정(프렌치 스타일링),론다플라워아카데미학원,AIG20230000429452,1,500036256257,201902781,11620,2024-01-25,2024-03-14,1,3,49,7.0,1.6,10,3,383040,483040,100.0,24010401,국민내일배움카드(일반),C0061, 관악구,02-877-8762,30.0,,,
제빵 실기 과정 ,이유제과제빵커피학원,AIG20230000425343,1,500020029446,200901947,11560,2024-01-25,2024-02-07,1,2,13,1.9,0.4,20,15,265200,360000,95.2,21020102,국민내일배움카드(일반),C0061, 영등포구,02-2065-0066,75.0,,,
나 혼자 그린 [컴활1급] 수강하여 무한성장,강남 그린컴퓨터아카데미,AIG20230000418679,1,500020046871,201100784,11680,2024-01-25,2024-02-29,1,2,35,5.0,1.2,20,16,234000,234000,85.7,2020302,국민내일배움카드(일반),C0061, 강남구,02-3481-1005,80.0,정보통신,,
주얼리 쇼핑몰 온라인 1인 창업과정,한국보석학원,AIG20230000418698,1,500020037544,200601080,11110,2024-01-25,2024-03-19,1,3,54,7.7,1.8,7,7,375360,800000,90.5,22020206,국민내일배움카드(일반),C0061, 종로구,02-764-4500,100.0,,,
전기(산업)기사 필기취득 문제풀이반A (필기특강),신화전기학원,AIG20230000420412,2,500020060455,200902930,11230,2024-01-25,2024-02-28,1,2,34,4.9,1.1,20,8,452100,452100,100.0,19010701,국민내일배움카드(일반),C0061, 동대문구,02-2215-0057,40.0,,,
왁싱실무과정,GMB직업전문학교,AIG20230000438530,1,500020055869,200500916,11620,2024-01-25,2024-03-19,1,3,54,7.7,1.8,20,6,434750,514750,90.9,12010102,국민내일배움카드(일반),C0061, 관악구,02-885-2598,30.0,,,
공조냉동기계(에어컨)설치정비,한성냉동용접학원,AIG20230000442659,1,500020019030,201100385,11560,2024-01-25,2024-02-28,1,2,34,4.9,1.1,16,7,982080,1350080,85.7,15050202,국민내일배움카드(일반),C0061, 영등포구,02-2637-7100,43.8,,,
유러피안 플로리스트 ,문릿꽃꽂이학원,AIG20230000448742,1,500020011725,201501115,11680,2024-01-25,2024-05-02,1,5,98,14.0,3.3,10,3,957600,1157600,0.0,24010401,국민내일배움카드(일반),C0061, 강남구,02-3474-1028,30.0,,,
미용사(네일) 자격증,GMB직업전문학교,AIG20230000431919,1,500020055869,200500916,11620,2024-01-25,2024-04-25,1,4,91,13.0,3.0,20,9,1684660,1684660,92.6,12010104,국민내일배움카드(일반),C0061, 관악구,02-885-2598,45.0,,,
CS(서비스)강사 양성과정 (LMS)																																,한국종합교육원,AIG20230000421252,2,500034254851,201801107,11680,2024-01-25,2024-02-23,1,2,29,4.1,1.0,13,11,1293520,1293520,81.1,2020201,스마트혼합훈련,C0054Y, 강남구,02-549-9888,84.6,정보통신,,
